"CODE","NAME","CASES","CASESVARIATION","AVERAGETEMP","DAY"
"CI","Côte d'Ivoire","1","0","28","20200313 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1","0","31","20200314 21:00:00.000 -0300"
"CI","Côte d'Ivoire","5","4","30","20200315 21:00:00.000 -0300"
"CI","Côte d'Ivoire","6","0.2","31","20200316 21:00:00.000 -0300"
"CI","Côte d'Ivoire","9","0.5","31","20200317 21:00:00.000 -0300"
"CI","Côte d'Ivoire","9","0","32","20200318 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1730","0.01764705882352941","27","20200509 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1857","0.07341040462427746","29","20200510 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1912","0.029617662897145933","29","20200511 21:00:00.000 -0300"
"CI","Côte d'Ivoire","1971","0.03085774058577406","30","20200512 21:00:00.000 -0300"
"CI","Côte d'Ivoire","2017","0.023338406900050734","30","20200513 21:00:00.000 -0300"
"CI","Côte d'Ivoire","2061","0.02181457610312345","29","20200514 21:00:00.000 -0300"
"CI","Côte d'Ivoire","2109","0.023289665211062592","28","20200515 21:00:00.000 -0300"
"CI","Côte d'Ivoire","2119","0.00474158368895211","28","20200516 21:00:00.000 -0300"
"CI","Côte d'Ivoire","2153","0.01604530438886267","30","20200517 21:00:00.000 -0300"
"CI","Côte d'Ivoire","2231","0.036228518346493266","28","20200518 21:00:00.000 -0300"
"CI","Côte d'Ivoire","12443","0.03244274809160305","25","20200709 21:00:00.000 -0300"
"CI","Côte d'Ivoire","12766","0.025958370167965924","23","20200710 21:00:00.000 -0300"
"CI","Côte d'Ivoire","12872","0.008303305655647814","25","20200711 21:00:00.000 -0300"
"CI","Côte d'Ivoire","13037","0.012818520820385332","23","20200712 21:00:00.000 -0300"
"CI","Côte d'Ivoire","13403","0.028073943391884636","25","20200713 21:00:00.000 -0300"
"CI","Côte d'Ivoire","13554","0.01126613444751175","25","20200714 21:00:00.000 -0300"
"CI","Côte d'Ivoire","13696","0.010476612070237569","24","20200715 21:00:00.000 -0300"
"CI","Côte d'Ivoire","13912","0.015771028037383176","26","20200716 21:00:00.000 -0300"
"CI","Côte d'Ivoire","14119","0.014879240943070731","25","20200717 21:00:00.000 -0300"
"CI","Côte d'Ivoire","14312","0.013669523337346837","26","20200718 21:00:00.000 -0300"
"CI","Côte d'Ivoire","18916","0.0024908580210927975","25","20200909 21:00:00.000 -0300"
"CI","Côte d'Ivoire","18916","0","24","20200910 21:00:00.000 -0300"
"CI","Côte d'Ivoire","19013","0.005127934024106577","25","20200911 21:00:00.000 -0300"
"CI","Côte d'Ivoire","19066","0.002787566401935518","26","20200912 21:00:00.000 -0300"
"CI","Côte d'Ivoire","19100","0.0017832791356341131","25","20200913 21:00:00.000 -0300"
"CI","Côte d'Ivoire","19132","0.001675392670157068","25","20200914 21:00:00.000 -0300"
"CI","Côte d'Ivoire","19158","0.001358979719841104","25","20200915 21:00:00.000 -0300"
"CI","Côte d'Ivoire","19200","0.002192295646727216","25","20200916 21:00:00.000 -0300"
"CI","Côte d'Ivoire","19269","0.00359375","26","20200917 21:00:00.000 -0300"
"CI","Côte d'Ivoire","19320","0.0026467382842908296","26","20200918 21:00:00.000 -0300"
"CI","Côte d'Ivoire","20855","0.0003837482611406917","28","20201109 21:00:00.000 -0300"
"CI","Côte d'Ivoire","20882","0.0012946535602972908","29","20201110 21:00:00.000 -0300"
"CI","Côte d'Ivoire","20899","0.0008140982664495737","30","20201111 21:00:00.000 -0300"
"CI","Côte d'Ivoire","20945","0.002201062251782382","29","20201112 21:00:00.000 -0300"
"CI","Côte d'Ivoire","20976","0.001480066841728336","30","20201113 21:00:00.000 -0300"
"CI","Côte d'Ivoire","20988","0.0005720823798627002","29","20201114 21:00:00.000 -0300"
"CI","Côte d'Ivoire","21004","0.0007623403849818944","29","20201115 21:00:00.000 -0300"
"CI","Côte d'Ivoire","21045","0.0019520091411159778","30","20201116 21:00:00.000 -0300"
"CI","Côte d'Ivoire","21083","0.0018056545497742932","29","20201117 21:00:00.000 -0300"
"CI","Côte d'Ivoire","21099","0.000758905279134848","29","20201118 21:00:00.000 -0300"
"EG","Egypt","60","0.01694915254237288","27","20200309 21:00:00.000 -0300"
"EG","Egypt","67","0.11666666666666667","27","20200310 21:00:00.000 -0300"
"EG","Egypt","80","0.19402985074626866","16","20200311 21:00:00.000 -0300"
"EG","Egypt","109","0.3625","21","20200312 21:00:00.000 -0300"
"EG","Egypt","110","0.009174311926605505","23","20200313 21:00:00.000 -0300"
"EG","Egypt","150","0.36363636363636365","25","20200314 21:00:00.000 -0300"
"EG","Egypt","196","0.30666666666666664","21","20200315 21:00:00.000 -0300"
"EG","Egypt","196","0","17","20200316 21:00:00.000 -0300"
"EG","Egypt","256","0.30612244897959184","18","20200317 21:00:00.000 -0300"
"EG","Egypt","285","0.11328125","17","20200318 21:00:00.000 -0300"
"EG","Egypt","9746","0.036808510638297876","31","20200509 21:00:00.000 -0300"
"EG","Egypt","10093","0.03560435050277037","35","20200510 21:00:00.000 -0300"
"EG","Egypt","10431","0.03348855642524522","35","20200511 21:00:00.000 -0300"
"EG","Egypt","10829","0.03815549803470425","37","20200512 21:00:00.000 -0300"
"EG","Egypt","11228","0.03684550743374273","36","20200513 21:00:00.000 -0300"
"EG","Egypt","11719","0.043729960812255074","37","20200514 21:00:00.000 -0300"
"EG","Egypt","12229","0.04351907159313935","35","20200515 21:00:00.000 -0300"
"EG","Egypt","12764","0.04374846675934255","38","20200516 21:00:00.000 -0300"
"EG","Egypt","13484","0.05640864932623002","40","20200517 21:00:00.000 -0300"
"EG","Egypt","14229","0.05525066745772768","40","20200518 21:00:00.000 -0300"
"EG","Egypt","81158","0.011503707858166635","35","20200709 21:00:00.000 -0300"
"EG","Egypt","82070","0.011237339510584293","35","20200710 21:00:00.000 -0300"
"EG","Egypt","83001","0.01134397465578165","34","20200711 21:00:00.000 -0300"
"EG","Egypt","83930","0.011192636233298393","35","20200712 21:00:00.000 -0300"
"EG","Egypt","84843","0.010878112712975098","37","20200713 21:00:00.000 -0300"
"EG","Egypt","85771","0.010937849911012106","33","20200714 21:00:00.000 -0300"
"EG","Egypt","86474","0.008196243485560388","32","20200715 21:00:00.000 -0300"
"EG","Egypt","87172","0.008071790364733909","34","20200716 21:00:00.000 -0300"
"EG","Egypt","87775","0.006917358784930941","35","20200717 21:00:00.000 -0300"
"EG","Egypt","88402","0.0071432640273426376","37","20200718 21:00:00.000 -0300"
"EG","Egypt","100708","0.0015016358881032648","36","20200909 21:00:00.000 -0300"
"EG","Egypt","100856","0.0014695952655201176","36","20200910 21:00:00.000 -0300"
"EG","Egypt","101009","0.0015170143571031965","35","20200911 21:00:00.000 -0300"
"EG","Egypt","101177","0.0016632181290776068","35","20200912 21:00:00.000 -0300"
"EG","Egypt","101340","0.001611038081777479","33","20200913 21:00:00.000 -0300"
